ID,join_date,sex,marital_status,birth_year,branch_code,occupation_code,occupation_category_code,P5DA,RIBP,8NN1,7POT,66FJ,GYSR,SOP4,RVSZ,PYUQ,LJR9,N2MW,AHXO,BSTQ,FM3X,K6QO,QBOL,JWFN,JZ9D,J9JW,GHYX,ECY3
C2UHDZY,01-05-2018,F,S,1968,XX25,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
L7R38LF,01-08-2019,M,M,1991,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
PIPEX7H,01-06-2018,M,M,1987,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
NCCDJEV,01-04-2019,M,M,1976,E5SW,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
RYH54X3,01-01-2015,M,U,1978,748L,0OJM,T4MS,0,0,8NN1,0,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
NG3S9XT,01-04-2014,M,M,1967,XX25,WMTK,90QI,0,0,0,7POT,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
TFXB3Z2,01-04-2017,M,M,1967,E5SW,YMGT,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
9T6O3LV,01-08-2016,F,M,1981,748L,6PE7,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
O5LBZHY,01-04-2018,M,M,1987,94KC,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ERK9JH6,01-06-2019,M,M,1974,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
W33L5U4,01-09-2019,F,M,1962,E5SW,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
BYQ8TG3,01-12-2017,M,M,1975,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
G7H3TNB,01-04-2019,M,M,1984,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,JZ9D,J9JW,0,0
12AKOA4,01-03-2019,M,M,1991,E5SW,J9SY,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
YL6ZH0X,01-12-2018,M,M,1975,XX25,6PE7,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
PLBS1Q5,01-06-2019,M,M,1984,9F9T,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
VF0HX1B,01-09-2019,M,S,1994,O67J,F57O,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
J7ZF126,01-07-2016,F,M,1979,ZFER,0KID,T4MS,0,0,0,0,0,0,0,0,PYUQ,0,0,0,0,0,0,QBOL,0,0,0,0,0
6J7WDKS,01-04-2019,M,M,1993,94KC,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
QMZOUCE,01-08-2018,M,M,1983,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
58L64BY,01-05-2020,M,M,1982,UAOD,WMTK,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,ECY3
I2KH7FN,01-04-2018,M,S,1995,94KC,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
JW9VWFM,01-01-2017,M,S,1989,XX25,QZYX,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,JWFN,0,0,0,0
T5ZP0A7,01-07-2018,M,M,1990,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
76630CC,01-04-2018,M,M,1973,748L,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
0GT7D44,01-10-2016,M,M,1960,E5SW,31JW,90QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QBOL,0,0,0,GHYX,0
1PVYNEJ,01-04-2019,M,M,1960,94KC,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
LBP6UZ5,01-08-2018,M,M,1990,748L,SS6D,L44T,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
04IDE0T,01-12-2019,F,M,1976,E5SW,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
RBTPBRO,01-05-2017,M,M,1978,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
45XFAF3,01-07-2017,F,S,1980,XX25,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
0E6642N,01-06-2018,F,M,1984,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
8IUVA60,01-11-2017,M,M,1965,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
N6RKTDK,01-08-2019,F,S,1990,30H5,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
NV3459E,01-10-2017,M,M,1988,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
3UTW6SC,01-04-2019,F,S,1982,E5SW,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
SUFY7TW,01-10-2014,M,M,1979,E5SW,9IM8,90QI,0,0,0,0,0,0,0,0,PYUQ,0,0,0,0,0,0,QBOL,0,0,0,0,0
V3R1VUW,01-05-2019,M,M,1965,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
YPQ7QVF,01-06-2020,M,M,1984,UAOD,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
OFRHT4Z,01-07-2016,M,M,1984,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
29MIE3M,01-09-2019,F,M,1977,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
73FUEPF,01-11-2016,F,M,1974,748L,6PE7,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
G9HDK1M,01-12-2018,F,S,1970,XX25,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
OVOVHPQ,01-10-2017,M,M,1989,94KC,P4MD,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
GOEZAWU,01-02-2018,M,M,1977,UAOD,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
DZYJQKL,01-03-2020,F,M,1978,94KC,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,ECY3
OAQJR4X,01-02-2018,M,M,1977,94KC,U37O,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
74ZQKOG,01-11-2019,M,M,1987,748L,BP09,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,ECY3
T8OFDI9,01-02-2018,M,M,1969,30H5,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
UPUXYWM,01-08-2019,F,S,1976,1X1H,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
EPYWUSH,01-12-2019,M,S,1994,E5SW,0B60,JD7X,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
VHPL1ZR,01-11-2019,M,M,1991,XX25,BP09,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
NRFN2C3,01-04-2017,F,S,1984,94KC,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
YU826RZ,01-02-2019,M,M,1997,748L,4W0D,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
X43JNM2,01-08-2019,M,M,1986,748L,BP09,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
07TEM45,01-09-2018,F,W,1973,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
G31I2HT,01-01-2018,M,M,1972,UAOD,PKW3,T4MS,0,0,0,0,0,0,0,RVSZ,PYUQ,0,0,0,0,0,0,0,0,0,0,0,0
BIBMI2P,01-10-2018,F,M,1986,XX25,4W0D,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,GHYX,0
RK07LC3,01-08-2018,M,M,1987,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
2I6ZLQC,01-12-2017,F,M,1985,UAOD,P4MD,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ITMUOBX,01-02-2020,M,U,1984,748L,RUFT,T4MS,0,RIBP,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
IE6553W,01-07-2010,M,M,1956,E5SW,N2ZZ,90QI,0,0,8NN1,7POT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AVUQQJQ,01-05-2018,M,M,1975,748L,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
8A1SNE5,01-05-2018,F,M,1971,30H5,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
NP1U9IQ,01-12-2018,F,M,1987,748L,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,GHYX,0
COT4D87,01-04-2018,M,M,1969,1X1H,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
UKSXDIU,01-11-2019,M,M,1981,9F9T,R44Q,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
X65B1XY,01-08-2013,M,U,1991,748L,QZYX,90QI,0,0,0,0,0,0,SOP4,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
OAPJXSB,01-07-2017,M,M,1977,49BM,2A7I,T4MS,0,0,0,0,0,0,0,0,0,0,N2MW,AHXO,0,0,0,0,0,0,0,0,0
K12A1NN,01-06-2018,M,M,1991,49BM,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,N2MW,AHXO,0,0,0,0,0,0,0,0,0
E3HNH7G,01-10-2016,M,M,1992,748L,UJ5T,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
BI677JM,01-01-2019,M,M,1994,1X1H,JI64,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
LUZG2RI,01-01-2020,M,M,1981,748L,PMAI,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
RNUDNX7,01-07-2012,M,U,1974,XX25,0OJM,T4MS,0,0,8NN1,0,0,0,0,0,0,LJR9,0,0,0,0,0,0,0,0,0,0,0
KYKPDL6,01-06-2019,F,S,1986,O67J,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
W5L1WU5,01-09-2018,F,M,1981,748L,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
0ZS1HW8,01-09-2015,M,M,1964,ZFER,73AC,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,QBOL,0,0,0,0,0
41417PJ,01-09-2018,M,M,1974,UAOD,P4MD,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
6EZHTWQ,01-09-2019,M,M,1996,30H5,ZKQ3,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
ZTQVRXA,01-04-2019,M,M,1973,1X1H,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
P3VV1MW,01-05-2019,F,M,1989,UAOD,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
Q6WH2ZI,01-12-2017,M,M,1984,94KC,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
VYIT1Z8,01-12-2019,M,U,1974,E5SW,0OJM,T4MS,0,0,8NN1,0,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
ISOKOYC,01-12-2018,F,M,1970,E5SW,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
1UVKZJE,01-05-2017,F,M,1978,ZFER,Y1WG,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
QSATP2T,01-06-2017,M,M,1958,94KC,QZYX,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
CT72PKC,01-09-2017,M,M,1971,E5SW,N2ZZ,90QI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JZ9D,J9JW,0,0
O7N49HM,01-03-2018,M,M,1970,UAOD,0KID,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
Q0A0NG2,01-09-2019,M,M,1965,UAOD,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
FKRZL0V,01-02-2018,M,M,1989,94KC,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
LZEGKPJ,01-07-2020,M,M,1973,748L,6E4H,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,ECY3
F2JWHBE,01-11-2019,M,M,1966,E5SW,0B60,JD7X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QBOL,0,0,0,GHYX,0
OINTZ5P,01-09-2019,M,M,1989,94KC,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
CAPC23E,01-10-2018,F,M,1965,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,QBOL,0,0,0,0,0
GOWF4CZ,01-03-2020,F,M,1980,30H5,BPSA,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
0XYF2WE,01-01-2018,M,M,1989,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
HNOEVLR,01-05-2019,M,M,1995,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
3GURBQJ,01-05-2020,M,M,1975,XX25,IQFS,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
RISAULI,01-04-2018,M,M,1964,UAOD,I31I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
BFS26H9,01-08-2019,M,M,1967,748L,SST3,56SI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
DYGX9YG,01-05-2018,M,M,1980,94KC,SST3,56SI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JZ9D,J9JW,0,0
LU4JSIF,01-07-2014,F,U,1963,748L,0OJM,T4MS,0,RIBP,0,0,0,0,0,RVSZ,0,0,0,0,0,0,0,0,0,0,0,0,0
GR0BZ7G,01-03-2017,M,M,1996,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
194A16D,01-04-2020,M,M,1974,748L,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
RT1JQU8,01-03-2017,M,M,1977,ZFER,B8W8,T4MS,0,0,0,0,0,0,0,RVSZ,PYUQ,0,0,0,0,0,0,0,0,0,0,0,0
J5DY8XV,01-10-2019,M,M,1986,BOAS,2A7I,T4MS,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
YCJY2J3,01-11-2019,M,S,1988,748L,6E4H,90QI,0,0,0,0,0,0,0,RVSZ,0,0,0,0,0,0,K6QO,0,0,0,0,0,0
